,username,comment,rating
24,septianadi_,"Pembelian yg ke 2, gak pernah kecewa, bagus banget. Bikin nagih pengen beli lagi. Kualitas sepatunya bagus, kuat, ringan juga, terus gak licin.",5
25,i*****7,"Tampilan:Kereen
Warna:Hitam

Tampilan keren, brand lokal tp berkualitas ya iniiii...masukkan koleksi lain di keranjang deh, bener2 memuaskan.
Eh nambah guys...pengiriman cuepet, satset, dasdes...muantull👍",5
26,hazela._,"Barang ORI, mulmer, packing aman, pengiriman cepat, penjualnya fast respon. Puasssss deh beli di toko ini. Mudah-mudahan awet.",5
27,erzalianaans,"Warna:Hitam
Tampilan:Bagus Banget

ini bagus bgt cocok buat anak muda jaman sekarang produk lokal emng sebagus ituu pengirimannya juga cepat bgt🥰🥰🥰",5
28,a*****n,"Tampilan:baguss
Warna:baguss gak luntur

Dengan harga segini udah dapet sepatu bagus worth it banget huhu sbg anak kos senengggg bgt
Jadi pengen beli yg variasi lain 

Ini di foto udh agak kotor karena udah dipake berminggu minggu hehe",5
29,damkinhaysbudi,"Sepatunya bagu, jahitannya rapih, solnya kuat, modelnya ciamik, cakep dah",5
30,roffiqur10,"Tampilan:oke banget
Warna:black and white basic gitu kek classic

Sepatu nya bagus dari segi kualitas solid, jahitan rapi, lem juga gak bleberr, size-nya bisa dibilang ngepas gitu. Insolenya apalagi tebel mantep. Outsolnya juga mantep. Talinya bagus. Next mungkin bakal beli lagi yang baru baru.",5
31,721aph9v2_,"Pas untuk Acara:pesta, sekolah,joging
Kenyamanan:nyaman dipakai enak bangett
Styling:formal casual

Pelayanan ramah respon cepat, sepatunya bagusss ga kalah sama yg luar pokonya lokal mantapp, kurir ramah pengiriman 4 harian",4
32,aisalmaafdh,"mantap pesanan diterima kak
produk bagus, pengirimannya juga cepat",5
33,arkenzio0505,"Sepatunya bagus, alasnya tebel keknya bakalan awet, kualitas oke, dipakenya juga nyaman karena didalemnya empuk, pengiriman lumayan lah yaa. Terimakasih seller & shopee",5
34,wandrawijaya,Kualitas produk mantap jahitannya rapih mendarat dengan aman walau kotak agak remuk,5
35,estrelaxx,"Tampilan:cakep, sesuai foto
Warna:hitam

Sepatunya cakep banget pas dipake. Kaki jadi keliatan bagus. Spons dalemnya empuk, jadi kalo dipake lama kayaknya enak deh. Semoga awet dipake lama yaa.",5
36,m*****4,"Sepadan dengan Harga:yang terjangkau

Pengiriman cepat walaupun luar jabodetabek, ukuran pas dan sesuai ukuran, nyaman, trendi, kualitas sepadan dengan harganya..
Ukuran 40 EUR atau 25,9 CM
Saat ini recommend dan semoga awet..",5
37,panji17042007,"Waktu pesan saya talinya minta di ganti warna hitam tapi yang dateng tetep putih tapi its okey, AEROSTREET emang TOP",5
38,daniel_kurniawan70,"Tampilan:cakep, modis, kuat kain kanvasnya tebel, original aerostreet, tampilan kek remaja keren trs
Warna:hitam doff kanvas

Kita bahas bersama"" ya..sepatunya udah sampai mayan cepet 2hri dri pas co, kalo di pakai lari nyaman ae cuma agak sakit dalemannya ga tebel bgt, klo saranku ya logika aja aku milih 41 agak pas tp kek mikir 42 lebih nyaman, tp menurutku ini enak nyaman ada longgar dikit, jari kaki ga pres poll di ujung e, enak pokoke, ori aerostreet lebih murah krn lgsg dri tokonya",5
39,ekypratama3,"Tampilan:Sesuai Gambar, keren pokoknya
Warna:Warna Sesuai Gambar

Ukuran pas, nyaman bgt di pakai di kaki, enak bgt di pakai buat sehari-hari, mantap bgt lah, harga bersahabat tapi kualitas tetap terjaga. Good Job",5
40,aiaaua_,"yeayyy akhirnya sepatu yang paling aku incar di aerostreet bisa kupunya juga sekarang 😍 sengaja naik 1 ukuran dari ukuran kaki aku yg aslinya dan sepatunya jadi lumayan longgar padahal udah pake kos kaki tapi bagus krn jadi nyaman bgt dipake sepatunya dan sol dalamnya juga lumayan tebal, suka bgt ❤",5
41,aldiekspresent03,"Tampilan:Bagus sesuai dengan pesanan
Warna:Black&White

Terimakasih Kak, Paket'nya udh sampai di saya 👍
Sepatu sesuai dengan pesanan saya...
Sepatu'nya datang tpi kok Buluk/Kotor kaya ada debu"" nya?
Mohon Packing'nya di perbaiki kak,Jujur saya baru sekali ini doang beli sepatu Online kok Packing'nya sangat membahayakan Isi Paket?🙄😴
Cuman Kardus sepatu& Plastik putih transparan😴🤥
Baru saya Anggkat di pegang plastiknya langsung Ambrol😴
Saran saya Packing Paket tolong di perbaiki kak🔥🔥💯💯
Kualitas Sepatu Aero Street Blm Tau bagus atau tidak, soal'nya Baru nyoba wkwk.
Di lihat dari Ranting si Bagus, semoga aja sepatu'nya Bagus&Awett wkwk😂😉",5
42,gheniramadhan,"udah gausah ragu lagi..udah pasti puas ko, harga murah tapi barang ga murahan, kualitasnya terbaik.bangga dengan produk local..",5
43,bwrthanurallisy4,"Saran Tampilan:cocok
Pas untuk Acara:casual
Sepadan dengan Harga:sangat terjangkau

Sepatunya bagus dan pengiriman cepat. Terimakasih ya dapat harga murah dong karena lagi ada flash sale sama voucher👍
Cumak untuk ukuran kaki ku ternyata nge pas banget harusnya aku ambil ukuran 38 sih",5
44,h*****_,"Tampilan:Mirip merk sebelah tp versi lokal
Warna:Hitam

Pengirimannya aman kardusnya gak penyok, ukurannya pas di kaki, sol dalemnya lumayan empuk dan bisa di copot, pokoknya produk lokal skrg gk kalah bagus sm produk2 luar. Thanks Aerostreet 👍🏻",5
45,arifidrus19,"Barang mantappp, jahitan rapii. Dukung terus brand lokal guyss #LokalTakGentar !!!!!",5
46,rizalderedy,"Tampilan:keren bahan juga premium
Warna:bagus dan sesuai di gambar

Wah ini recommended banget, dengan low budget udah bisa dapat sepatu premium gini.. 

Cintailah produk lokal 👍🏼",5
47,wpf3pbe1bs,"Tampilan:keren banget
Warna:Hitam

Jangan ragu pokonya beli di toko ini,barang nya bagus sesuai di poto
Cuman aga lama pengiriman nya,tapi gpp",5
48,n*****x,"Agak kaget pas yang dikirim nomer 41, ya meski ternyata ga jauh beda dengan 42..
Tapi ya tetap aja seharusnya kirim yang 42 gehhh

Bagus banget, Bismillah Awett teruss
Udah ke-2 kalinya beli produk lokal nya Aerostreet & selalu bangga produknya mantappu jiwa🔥🔥🔥",5
49,o*****1,Senang banget Sepatu nya sampai dengan selamat. Bagus banget sesuai ekspektasi. Love banget sama aerostreet ❤️❤️❤️,5
50,yusril_aulia_patra,"Tampilan:97%
Warna:hitam

100% sesuai harga
Minusnya cuma kotaknya dah ke bukak dikit jadi agak curiga",5
51,bintoro11,"Pengiriman cepat, kardus aman gak ada yg cacat, sepatu nya bagusss pake banget. Uda punya 4 pasang dari aerostreet tak pernah mengecewakan. ",5
52,mufliashar,"Warna:41, hitam
Tampilan:Aerostreet massive low

alhamdullilah barang sudah sampai tidak ada yang robek jahitannya warnanya juga sesuai tebel juga bahannya pokoknya oke banget dah dibrand aerostreet insyaallah next dengan brand aerostreet 👍👍👍👍",5
53,titinfitrian,"Warna:sesuai pesanan
Tampilan:ok

Barang Realpick, toko nya amanah, ga kecewa belanja ditoko ini 👍",5
54,h*****4,"Tampilan:keren sedikit bulat
Warna:hitam

Alhamdulillah paket sampai dengan selamat, produknya bagus, sesuai dengan pesanan. Untuk size ini size nya kayanya standar lokal soalnya pas banget, kalo kualitas sih udah pasti ori dan bagus karena menggunakan teknologi canggih jadi kuat anti jebol.
#LOKALTAKGENTAR pokona mah nuhun pisan.",5
55,l*****c,Barang sesuai pesanan harga oke kualitas sangat sangat bagus .. produk lokal dengan harga murah tapi kualitas ga kaalaaahh.. mantap banget ini sepatu..thank you seller.. lokal pride,5
56,muhammadfirlifirmansyah,"Kualitas:TerBaik

Buset kualitas nya oke banget,di penyokin tetep aman...
parah si ini dengan harga murah gitu kualitas oke banget bakalan langganan sih di sini",5
